Cities,Impersonation,Fondling,Pornography/Obscene Material,All Other Larceny,Theft of Motor Vehicle Parts or Accessories,Theft From Motor Vehicle,Simple Assault,Burglary/Breaking & Entering,Destruction/Damage/Vandalism of Property,Intimidation,Wire Fraud,Aggravated Assault,Drug/Narcotic Violations,Shoplifting,Weapon Law Violations,Motor Vehicle Theft,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Stolen Property Offenses,Statutory Rape,Theft From Building,Sodomy,Embezzlement,Counterfeiting/Forgery,Robbery,Drug Equipment Violations,Identity Theft,Rape,Kidnapping/Abduction,Sexual Assault With An Object,Murder and Nonnegligent Manslaughter,Animal Cruelty,Arson,Purchasing Prostitution,Extortion/Blackmail,Pocket-picking,Purse-snatching,Hacking/Computer Invasion,"Human Trafficking, Commercial Sex Acts",Assisting or Promoting Prostitution,Incest,Prostitution,Bribery,"Human Trafficking, Involuntary Servitude",Operating/Promoting/Assisting Gambling,Welfare Fraud,Negligent Manslaughter,Theft From Coin-Operated Machine or Device,Gambling Equipment Violation,Betting/Wagering,Total
BARNSTABLE,17.0,22.0,8.0,97.0,13.0,58.0,262.0,88.0,202.0,73.0,10.0,122.0,151.0,115.0,50.0,15.0,52.0,39.0,9.0,3.0,86.0,6.0,8.0,12.0,8.0,1.0,14.0,12.0,4.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570.0
BOURNE,22.0,8.0,3.0,100.0,0.0,17.0,130.0,101.0,134.0,45.0,0.0,37.0,37.0,35.0,6.0,10.0,49.0,7.0,11.0,0.0,16.0,0.0,4.0,17.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.0
BREWSTER,7.0,5.0,1.0,35.0,0.0,6.0,53.0,11.0,33.0,9.0,0.0,16.0,6.0,0.0,3.0,3.0,11.0,3.0,1.0,5.0,16.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
CHATHAM,1.0,0.0,0.0,37.0,0.0,2.0,19.0,10.0,31.0,5.0,0.0,6.0,2.0,5.0,1.0,2.0,16.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
DENNIS,9.0,5.0,1.0,99.0,0.0,30.0,95.0,57.0,66.0,15.0,1.0,43.0,21.0,26.0,10.0,12.0,36.0,9.0,2.0,0.0,37.0,1.0,1.0,11.0,1.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0
EASTHAM,5.0,1.0,2.0,44.0,0.0,11.0,10.0,8.0,13.0,5.0,0.0,6.0,8.0,1.0,2.0,1.0,13.0,3.0,0.0,2.0,7.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0
FALMOUTH,53.0,14.0,10.0,128.0,0.0,4.0,198.0,99.0,177.0,105.0,0.0,79.0,85.0,38.0,15.0,20.0,69.0,4.0,13.0,2.0,39.0,0.0,8.0,20.0,4.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0
HARWICH,15.0,3.0,0.0,74.0,0.0,1.0,44.0,34.0,48.0,8.0,1.0,16.0,7.0,14.0,5.0,3.0,23.0,3.0,0.0,2.0,7.0,0.0,0.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0
MASHPEE,13.0,3.0,1.0,73.0,0.0,11.0,53.0,13.0,76.0,29.0,0.0,38.0,31.0,32.0,6.0,3.0,25.0,7.0,3.0,4.0,11.0,0.0,6.0,6.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0
ORLEANS,6.0,0.0,1.0,47.0,0.0,1.0,14.0,3.0,15.0,10.0,0.0,6.0,4.0,14.0,2.0,0.0,11.0,0.0,0.0,6.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0
PROVINCETOWN,2.0,2.0,1.0,58.0,0.0,3.0,46.0,16.0,50.0,9.0,0.0,10.0,11.0,12.0,0.0,2.0,18.0,3.0,2.0,0.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0
SANDWICH,28.0,2.0,0.0,42.0,0.0,17.0,69.0,17.0,101.0,20.0,0.0,11.0,29.0,8.0,3.0,4.0,15.0,1.0,5.0,6.0,14.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0
TRURO,1.0,0.0,0.0,7.0,0.0,3.0,12.0,6.0,8.0,3.0,0.0,5.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
YARMOUTH,15.0,2.0,3.0,127.0,0.0,66.0,165.0,50.0,101.0,31.0,0.0,68.0,64.0,30.0,14.0,17.0,28.0,13.0,6.0,6.0,35.0,2.0,3.0,12.0,7.0,0.0,0.0,9.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0
ADAMS,1.0,2.0,4.0,35.0,3.0,10.0,38.0,32.0,60.0,5.0,0.0,17.0,12.0,3.0,2.0,4.0,15.0,2.0,5.0,7.0,12.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0
CHESHIRE,1.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
LEE,3.0,2.0,1.0,22.0,0.0,8.0,26.0,15.0,23.0,9.0,0.0,11.0,2.0,27.0,4.0,1.0,3.0,2.0,0.0,1.0,14.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0
